,marital_status,application_mode,course,time_attendance,previous_qualification,mother_qualification,father_qualification,mother_occupation,father_occupation,displaced,debtor,tuition_fees_up_to_date,gender,scholarship_holder,Application_order,Previous_qualification_grade,Admission_grade,Age_at_enrollment,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,GDP,graduate
0,single,2nd phase - general contingent,Animation and Multimedia Design,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Other - 11th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,yes,no,yes,male,no,5.0,122.0,127.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0
1,single,International student (bachelor),Tourism,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,yes,no,no,male,no,1.0,160.0,142.5,19.0,0.0,6.0,6.0,6.0,14.0,0.0,0.79,1
2,single,1st phase - general contingent,Communication Design,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,yes,no,no,male,no,5.0,122.0,124.8,19.0,0.0,6.0,0.0,0.0,0.0,0.0,1.74,0
3,single,2nd phase - general contingent,Journalism and Communication,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,yes,no,yes,female,no,2.0,122.0,119.6,20.0,0.0,6.0,8.0,6.0,13.428571428571429,0.0,-3.12,1
4,married,Over 23 years old,Social Service (evening attendance),evening,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,Unskilled Workers,no,no,yes,female,no,1.0,100.0,141.5,45.0,0.0,6.0,9.0,5.0,12.333333333333334,0.0,0.79,1
5,married,Over 23 years old,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",no,yes,yes,male,no,1.0,133.1,114.8,50.0,0.0,5.0,10.0,5.0,11.857142857142858,0.0,-0.92,1
6,single,1st phase - general contingent,Nursing,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,yes,no,yes,female,yes,1.0,142.0,128.4,18.0,0.0,7.0,9.0,7.0,13.3,0.0,-4.06,1
7,single,3rd phase - general contingent,Tourism,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,yes,no,no,male,no,4.0,119.0,113.1,22.0,0.0,5.0,5.0,0.0,0.0,0.0,-4.06,0
8,single,1st phase - general contingent,Social Service,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,no,no,yes,female,yes,3.0,137.0,129.3,21.0,0.0,6.0,8.0,6.0,13.875,0.0,-0.92,1
9,single,1st phase - general contingent,Social Service,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",yes,yes,no,female,no,1.0,138.0,123.0,18.0,0.0,6.0,9.0,5.0,11.4,0.0,3.51,0
10,single,1st phase - general contingent,Advertising and Marketing Management,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",yes,no,yes,female,no,1.0,139.0,130.6,18.0,0.0,6.0,6.0,6.0,12.333333333333334,0.0,0.79,1
11,single,1st phase - general contingent,Nursing,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,Unskilled Workers,yes,no,yes,female,yes,1.0,136.0,119.3,18.0,0.0,8.0,8.0,7.0,13.214285714285714,0.0,-1.7,1
12,single,1st phase - general contingent,Basic Education,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,Administrative staff,Unskilled Workers,yes,no,yes,female,no,2.0,133.0,130.2,19.0,0.0,6.0,6.0,0.0,0.0,0.0,-1.7,0
13,single,Short cycle diploma holders,Tourism,daytime,Professional higher technical course,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",yes,no,yes,female,yes,1.0,110.0,111.8,21.0,0.0,6.0,7.0,6.0,10.571428571428571,0.0,3.51,1
14,single,1st phase - general contingent,Veterinary Nursing,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",yes,no,yes,female,yes,1.0,149.0,137.1,18.0,0.0,5.0,7.0,4.0,13.25,0.0,1.74,1
15,single,1st phase - general contingent,Journalism and Communication,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Intermediate Level Technicians and Professions,yes,no,yes,female,no,1.0,127.0,120.7,20.0,0.0,6.0,6.0,5.0,13.2,0.0,-4.06,0
16,single,2nd phase - general contingent,Nursing,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,yes,no,yes,female,no,2.0,135.0,127.3,18.0,0.0,7.0,8.0,7.0,13.30625,0.0,-4.06,1
17,single,1st phase - general contingent,Equinculture,daytime,Secondary education,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",yes,no,yes,female,no,1.0,137.0,136.3,20.0,0.0,5.0,8.0,4.0,12.5,1.0,1.74,1
18,single,1st phase - general contingent,Animation and Multimedia Design,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Installation and Machine Operators and Assembly Workers,no,no,yes,female,yes,3.0,122.0,120.3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,1
19,single,1st phase - general contingent,Nursing,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Ma","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Ma",yes,no,yes,female,no,4.0,142.0,125.5,18.0,0.0,8.0,12.0,7.0,12.857142857142858,0.0,-1.7,1
20,single,1st phase - general contingent,Advertising and Marketing Management,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",yes,no,yes,female,yes,4.0,125.0,114.9,19.0,0.0,6.0,8.0,6.0,13.375,0.0,2.02,1
21,single,1st phase - general contingent,Nursing,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",no,no,yes,female,no,1.0,126.0,123.9,19.0,0.0,7.0,8.0,6.0,13.296666666666669,0.0,2.02,1
22,single,2nd phase - general contingent,Social Service,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,yes,no,yes,female,no,2.0,115.0,116.4,21.0,0.0,6.0,9.0,6.0,11.375,0.0,-0.92,1
23,single,1st phase - general contingent,Management,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,yes,no,yes,female,no,1.0,135.0,122.1,20.0,0.0,5.0,6.0,5.0,12.0,0.0,-0.92,1
24,single,Change of institution/course,Communication Design,daytime,Secondary education,Professional higher technical course,Higher Education - Degree,Specialists in information and communication technologies (ICT),"Specialists in finance, accounting, administrative organization, public and commercial relations",yes,no,yes,male,no,1.0,125.0,130.0,20.0,2.0,6.0,7.0,6.0,12.833333333333334,0.0,3.51,1
25,single,3rd phase - general contingent,Social Service (evening attendance),evening,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",yes,no,yes,female,no,1.0,138.0,134.5,19.0,0.0,6.0,6.0,6.0,12.666666666666666,0.0,1.79,1
26,single,1st phase - general contingent,Management (evening attendance),evening,Secondary education,Higher Education - Bachelor,Basic education 1st cycle (4th/5th year) or equiv,Intermediate Level Technicians and Professions,Unskilled Workers,no,no,yes,male,no,1.0,130.0,131.4,34.0,0.0,5.0,6.0,5.0,12.4,0.0,0.79,1
27,single,Over 23 years old,Biofuel Production Technologies,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",no,yes,no,male,no,1.0,130.0,102.5,37.0,0.0,7.0,7.0,0.0,0.0,0.0,3.51,0
28,single,Over 23 years old,Informatics Engineering,daytime,11th year of schooling - not completed,Unknown,Basic education 1st cycle (4th/5th year) or equiv,Student,Student,yes,no,yes,male,no,1.0,133.1,128.8,43.0,0.0,5.0,0.0,0.0,0.0,0.0,0.32,0
29,single,Change of course,Management,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",no,no,yes,female,no,1.0,140.0,122.9,55.0,0.0,5.0,10.0,1.0,10.0,0.0,-0.92,0
